meta,Constituency name,Lab 2001,Con 2001,LD 2001,SNP 2001,PC 2001,2001 winner,2001 votes,2001 turnout,Lab 2005,Con 2005,LD 2005,SNP 2005,PC 2005,2005 winner,2005 votes,2005 turnout
680,East Renfrewshire,,,,,,,,,20815,14158,8659,3245,,0,47405,72.1
167,Eastbourne,5967,19738,17584,,,1,44770,60.7,5268,21033,19909,,,1,48392,64.8
168,Eastleigh,10426,16302,19360,,,2,47573,63.8,10238,18648,19216,,,2,49771,64.8
612,Eastwood,23036,13895,6239,4137,,0,48368,70.7,,,,,,,,
169,Eccles,21395,6867,4920,,,0,33182,48.3,19702,6816,6429,,,0,34632,50.2
170,Eddisbury,15988,20556,6975,,,1,44387,64.2,14986,21181,8182,,,1,45674,63.2
613,Edinburgh Central,14495,5643,6353,4832,,0,34390,52,,,,,,,,
681,Edinburgh East,,,,,,,,,15899,4093,9697,6760,,0,39709,61.3
614,Edinburgh East & Musselburgh,18124,3906,4981,5956,,0,34454,58.2,,,,,,,,
682,Edinburgh North & Leith,,,,,,,,,14597,7969,12444,4344,,0,42640,62.7
615,Edinburgh North & Leith,15271,4626,6454,5290,,0,33234,53.2,,,,,,,,
616,Edinburgh Pentlands,15797,14055,4210,4210,,0,38932,65.1,,,,,,,,
683,Edinburgh South,,,,,,,,,14183,10291,13783,2635,,0,42693,70
617,Edinburgh South,15671,6172,10172,3683,,0,37166,58.1,,,,,,,,
684,Edinburgh South West,,,,,,,,,17476,10234,9252,4654,,0,43926,65.4
685,Edinburgh West,,,,,,,,,8433,8817,22417,4124,,2,45265,68.9
618,Edinburgh West,9130,8894,16719,4047,,2,39478,63.8,,,,,,,,
171,Edmonton,20481,10709,2438,,,0,34774,55.8,18456,10381,4162,,,0,34703,59.1
172,Ellesmere Port & Neston,22964,12103,4828,,,0,41528,60.9,20371,13885,6607,,,0,42069,61.6
173,Elmet,22038,17867,5001,,,0,45937,65.6,22260,17732,5923,,,0,47146,68.8
174,Eltham,17855,10859,4121,,,0,33792,58.7,15381,12105,5669,,,0,35305,61.7
175,Enfield North,17888,15597,3355,,,0,38143,56.3,18055,16135,4642,,,0,40749,61.3
176,Enfield Southgate,21727,16181,2935,,,0,41908,63.1,17083,18830,4724,,,1,42210,66.4
177,Epping Forest,12407,20833,7884,,,1,42414,58.4,9425,23783,8279,,,1,43960,60.4
178,Epsom & Ewell,12350,22430,10316,,,1,46643,62.8,10265,27146,10699,,,1,49879,66.1
179,Erewash,23915,16983,5586,,,0,48596,61.9,22472,15388,7073,,,0,50553,64.5
180,Erith & Thamesmead,19769,8602,3800,,,0,33351,50.2,20483,8983,5088,,,0,37651,52.3
181,Esher & Walton,10758,22296,10241,,,1,45531,61.9,9309,21882,14155,,,1,47878,62.2
182,Essex North,14139,21325,7867,,,1,44944,62.7,11908,22811,9831,,,1,47959,65.7
183,Exeter,26194,14435,6512,,,0,52616,64.2,22619,14954,11340,,,0,55068,64.8
686,Falkirk,,,,,,,,,23264,4538,7321,9789,,0,45750,59.6
619,Falkirk East,18536,3252,2992,7824,,0,33702,58.5,,,,,,,,
620,Falkirk West,16022,2321,2203,7490,,0,30891,57.7,,,,,,,,
184,Falmouth & Camborne,18532,14005,11453,,,0,46820,64.3,14861,12644,16747,,,2,48015,67.1
185,Fareham,14380,21389,8503,,,1,45447,62.5,12449,24151,10551,,,1,48576,66.9
186,Faversham & Mid Kent,14556,18739,5529,,,1,41051,60.4,12970,21690,7204,,,1,43626,65.7
187,Feltham & Heston,21406,8749,4998,,,0,36177,49.4,17741,10921,6177,,,0,37282,49.5
621,Fife Central,18310,2351,2775,8235,,0,32512,54.6,,,,,,,,
622,Fife North East,3950,8190,17926,3596,,2,34692,56,,,,,,,,
188,Finchley & Golders Green,20205,16489,5266,,,0,43675,57.3,17487,16746,7282,,,0,43214,61.9
189,Folkestone & Hythe,9260,20645,14738,,,1,45855,64.1,6053,26161,14481,,,1,48503,68.4
190,Forest of Dean,19350,17301,5762,,,0,44607,67.3,17425,19474,8185,,,1,47640,70.9
191,Fylde,13773,23383,6599,,,1,44737,62,11828,24287,7748,,,1,45510,60.1
192,Gainsborough,11484,19555,11280,,,1,42319,64.2,11744,20040,12037,,,1,45681,64.6
623,Galloway & Upper Nithsdale,7258,12222,3698,12148,,1,35914,68.1,,,,,,,,
193,Gateshead East & Washington West,22903,4970,4999,,,0,33615,52.5,20997,4812,7590,,,0,34668,56.4
194,Gedling,22383,16785,4648,,,0,43816,63.9,20329,16518,6070,,,0,44069,63.9
195,Gillingham,18782,16510,5755,,,0,42212,59.5,18621,18367,6734,,,0,45167,62.5
624,Glasgow Anniesland,15102,2651,3244,4048,,0,26722,50.1,,,,,,,,
625,Glasgow Baillieston,14200,1580,1551,4361,,0,23261,47.2,,,,,,,,
626,Glasgow Cathcart,14902,3662,3006,4086,,0,27386,52.6,,,,,,,,
687,Glasgow Central,,,,,,,,,13518,1757,4987,4148,,0,28037,43.8
688,Glasgow East,,,,,,,,,18775,2135,3665,5268,,0,30939,48.2
627,Glasgow Govan,12464,2167,2815,6064,,0,25284,46.8,,,,,,,,
